second,Volt
-594.000E-06,+7.845312595E+00
-592.000E-06,+7.778906345E+00
-590.000E-06,+7.712500095E+00
-588.000E-06,+7.650000095E+00
-586.000E-06,+7.583593845E+00
-584.000E-06,+7.521093845E+00
-582.000E-06,+7.454687595E+00
-580.000E-06,+7.388281345E+00
-578.000E-06,+7.329687595E+00
-576.000E-06,+7.267187595E+00
-574.000E-06,+7.196875095E+00
-572.000E-06,+7.130468845E+00
-570.000E-06,+7.067968845E+00
-568.000E-06,+6.997656345E+00
-566.000E-06,+6.931250095E+00
-564.000E-06,+6.864843845E+00
-562.000E-06,+6.794531345E+00
-560.000E-06,+6.728125095E+00
-558.000E-06,+6.661718845E+00
-556.000E-06,+6.599218845E+00
-554.000E-06,+6.528906345E+00
-552.000E-06,+6.458593845E+00
-550.000E-06,+6.396093845E+00
-548.000E-06,+6.329687595E+00
-546.000E-06,+6.263281345E+00
-544.000E-06,+6.204687595E+00
-542.000E-06,+6.138281345E+00
-540.000E-06,+6.079687595E+00
-538.000E-06,+6.009375095E+00
-536.000E-06,+5.939062595E+00
-534.000E-06,+5.872656345E+00
-532.000E-06,+5.806250095E+00
-530.000E-06,+5.747656345E+00
-528.000E-06,+5.685156345E+00
-526.000E-06,+5.618750095E+00
-524.000E-06,+5.556250095E+00
-522.000E-06,+5.489843845E+00
-520.000E-06,+5.419531345E+00
-518.000E-06,+5.357031345E+00
-516.000E-06,+5.290625095E+00
-514.000E-06,+5.228125095E+00
-512.000E-06,+5.169531345E+00
-510.000E-06,+5.103125095E+00
-508.000E-06,+5.040625095E+00
-506.000E-06,+4.978125095E+00
-504.000E-06,+4.915625095E+00
-502.000E-06,+4.857031345E+00
-500.000E-06,+4.798437595E+00
-498.000E-06,+4.732031345E+00
-496.000E-06,+4.665625095E+00
-494.000E-06,+4.610937595E+00
-492.000E-06,+4.552343845E+00
-490.000E-06,+4.493750095E+00
-488.000E-06,+4.435156345E+00
-486.000E-06,+4.376562595E+00
-484.000E-06,+4.317968845E+00
-482.000E-06,+4.263281345E+00
-480.000E-06,+4.208593845E+00
-478.000E-06,+4.153906345E+00
-476.000E-06,+4.095312595E+00
-474.000E-06,+4.036718845E+00
-472.000E-06,+3.978125095E+00
-470.000E-06,+3.923437595E+00
-468.000E-06,+3.872656345E+00
-466.000E-06,+3.810156345E+00
-464.000E-06,+3.755468845E+00
-462.000E-06,+3.704687595E+00
-460.000E-06,+3.650000095E+00
-458.000E-06,+3.591406345E+00
-456.000E-06,+3.544531345E+00
-454.000E-06,+3.489843845E+00
-452.000E-06,+3.431250095E+00
-450.000E-06,+3.384375095E+00
-448.000E-06,+3.333593845E+00
-446.000E-06,+3.275000095E+00
-444.000E-06,+3.224218845E+00
-442.000E-06,+3.173437595E+00
-440.000E-06,+3.130468845E+00
-438.000E-06,+3.067968845E+00
-436.000E-06,+3.025000095E+00
-434.000E-06,+2.966406345E+00
-432.000E-06,+2.919531345E+00
-430.000E-06,+2.872656345E+00
-428.000E-06,+2.821875095E+00
-426.000E-06,+2.778906345E+00
-424.000E-06,+2.732031345E+00
-422.000E-06,+2.689062595E+00
-420.000E-06,+2.638281345E+00
-418.000E-06,+2.599218845E+00
-416.000E-06,+2.552343845E+00
-414.000E-06,+2.505468845E+00
-412.000E-06,+2.470312595E+00
-410.000E-06,+2.423437595E+00
-408.000E-06,+2.384375095E+00
-406.000E-06,+2.341406345E+00
-404.000E-06,+2.302343845E+00
-402.000E-06,+2.255468845E+00
-400.000E-06,+2.220312595E+00
-398.000E-06,+2.181250095E+00
-396.000E-06,+2.138281345E+00
-394.000E-06,+2.099218845E+00
-392.000E-06,+2.060156345E+00
-390.000E-06,+2.025000095E+00
-388.000E-06,+1.985937595E+00
-386.000E-06,+1.942968845E+00
-384.000E-06,+1.907812595E+00
-382.000E-06,+1.876562595E+00
-380.000E-06,+1.845312595E+00
-378.000E-06,+1.806250095E+00
-376.000E-06,+1.767187595E+00
-374.000E-06,+1.739843845E+00
-372.000E-06,+1.708593845E+00
-370.000E-06,+1.673437595E+00
-368.000E-06,+1.642187595E+00
-366.000E-06,+1.614843845E+00
-364.000E-06,+1.575781345E+00
-362.000E-06,+1.548437595E+00
-360.000E-06,+1.525000095E+00
-358.000E-06,+1.493750095E+00
-356.000E-06,+1.466406345E+00
-354.000E-06,+1.435156345E+00
-352.000E-06,+1.411718845E+00
-350.000E-06,+1.384375095E+00
-348.000E-06,+1.353125095E+00
-346.000E-06,+1.329687595E+00
-344.000E-06,+1.306250095E+00
-342.000E-06,+1.278906345E+00
-340.000E-06,+1.255468845E+00
-338.000E-06,+1.232031345E+00
-336.000E-06,+1.212500095E+00
-334.000E-06,+1.185156345E+00
-332.000E-06,+1.165625095E+00
-330.000E-06,+1.150000095E+00
-328.000E-06,+1.126562595E+00
-326.000E-06,+1.110937595E+00
-324.000E-06,+1.091406345E+00
-322.000E-06,+1.075781345E+00
-320.000E-06,+1.060156345E+00
-318.000E-06,+1.044531345E+00
-316.000E-06,+1.028906345E+00
-314.000E-06,+1.009375095E+00
-312.000E-06,+997.656345E-03
-310.000E-06,+985.937595E-03
-308.000E-06,+974.218845E-03
-306.000E-06,+958.593845E-03
-304.000E-06,+946.875095E-03
-302.000E-06,+935.156345E-03
-300.000E-06,+927.343845E-03
-298.000E-06,+911.718845E-03
-296.000E-06,+903.906345E-03
-294.000E-06,+896.093845E-03
-292.000E-06,+888.281345E-03
-290.000E-06,+880.468845E-03
-288.000E-06,+876.562595E-03
-286.000E-06,+872.656345E-03
-284.000E-06,+860.937595E-03
-282.000E-06,+857.031345E-03
-280.000E-06,+853.125095E-03
-278.000E-06,+853.125095E-03
-276.000E-06,+845.312595E-03
-274.000E-06,+841.406345E-03
-272.000E-06,+841.406345E-03
-270.000E-06,+841.406345E-03
-268.000E-06,+841.406345E-03
-266.000E-06,+841.406345E-03
-264.000E-06,+841.406345E-03
-262.000E-06,+845.312595E-03
-260.000E-06,+845.312595E-03
-258.000E-06,+845.312595E-03
-256.000E-06,+849.218845E-03
-254.000E-06,+857.031345E-03
-252.000E-06,+860.937595E-03
-250.000E-06,+868.750095E-03
-248.000E-06,+868.750095E-03
-246.000E-06,+876.562595E-03
-244.000E-06,+884.375095E-03
-242.000E-06,+896.093845E-03
-240.000E-06,+903.906345E-03
-238.000E-06,+915.625095E-03
-236.000E-06,+915.625095E-03
-234.000E-06,+931.250095E-03
-232.000E-06,+946.875095E-03
-230.000E-06,+950.781345E-03
-228.000E-06,+962.500095E-03
-226.000E-06,+974.218845E-03
-224.000E-06,+989.843845E-03
-222.000E-06,+1.001562595E+00
-220.000E-06,+1.017187595E+00
-218.000E-06,+1.036718845E+00
-216.000E-06,+1.048437595E+00
-214.000E-06,+1.064062595E+00
-212.000E-06,+1.087500095E+00
-210.000E-06,+1.099218845E+00
-208.000E-06,+1.114843845E+00
-206.000E-06,+1.138281345E+00
-204.000E-06,+1.157812595E+00
-202.000E-06,+1.177343845E+00
-200.000E-06,+1.200781345E+00
