second,Volt,Volt2
-500.003E-06,-3.100387524E+00,-263.765629E-03
-499.002E-06,-2.945386748E+00,-257.515598E-03
-498.002E-06,-3.099614074E+00,-263.734442E-03
-497.002E-06,-3.100000024E+00,-257.515535E-03
-496.002E-06,-2.945384423E+00,-257.500004E-03
-495.002E-06,-2.945000023E+00,-263.734535E-03
-494.002E-06,-2.945000023E+00,-257.515442E-03
-493.002E-06,-2.945000023E+00,-263.734598E-03
-492.002E-06,-2.945000023E+00,-263.750004E-03
-491.002E-06,-3.099619499E+00,-257.515348E-03
-490.002E-06,-2.945379773E+00,-257.500004E-03
-489.002E-06,-3.099621049E+00,-263.734723E-03
-488.002E-06,-2.945378223E+00,-257.515254E-03
-487.002E-06,-2.945000023E+00,-263.734785E-03
-486.002E-06,-2.945000023E+00,-257.515192E-03
-485.002E-06,-2.945000023E+00,-263.734848E-03
-484.002E-06,-2.945000023E+00,-263.750004E-03
-483.002E-06,-2.945000023E+00,-263.750004E-03
-482.002E-06,-3.099626474E+00,-257.515067E-03
-481.002E-06,-3.100000024E+00,-251.265035E-03
-480.002E-06,-2.945372023E+00,-263.720004E-03
-479.002E-06,-2.945000023E+00,-257.514973E-03
-478.002E-06,-2.945000023E+00,-257.500004E-03
-477.002E-06,-2.945000023E+00,-257.500004E-03
-476.002E-06,-2.945000023E+00,-263.735129E-03
-475.002E-06,-3.099631899E+00,-257.514848E-03
-474.002E-06,-2.945367373E+00,-257.500004E-03
-473.002E-06,-3.099633449E+00,-263.735223E-03
-472.002E-06,-2.945365823E+00,-257.514754E-03
-471.002E-06,-3.099634999E+00,-263.735285E-03
-470.002E-06,-3.254635775E+00,-263.750004E-03
-469.002E-06,-3.100363499E+00,-257.514660E-03
-468.002E-06,-3.100000024E+00,-263.735379E-03
-467.002E-06,-3.100000024E+00,-263.750004E-03
-466.002E-06,-3.100000024E+00,-257.514567E-03
-465.002E-06,-3.100000024E+00,-257.500004E-03
-464.002E-06,-3.100000024E+00,-263.735504E-03
-463.002E-06,-3.100000024E+00,-257.514473E-03
-462.002E-06,-3.100000024E+00,-263.735567E-03
-461.002E-06,-3.100000024E+00,-257.514410E-03
-460.002E-06,-2.945356523E+00,-257.500004E-03
-459.002E-06,-3.099644299E+00,-263.735660E-03
-458.002E-06,-2.945354973E+00,-257.514317E-03
-457.002E-06,-3.099645849E+00,-257.500004E-03
-456.002E-06,-3.100000024E+00,-263.735754E-03
-455.002E-06,-3.100000024E+00,-263.750004E-03
-454.002E-06,-2.945351873E+00,-263.750004E-03
-453.002E-06,-3.099648949E+00,-257.514160E-03
-452.002E-06,-3.100000024E+00,-257.500004E-03
-451.002E-06,-3.100000024E+00,-263.735910E-03
-450.002E-06,-3.100000024E+00,-263.750004E-03
-449.002E-06,-3.100000024E+00,-263.750004E-03
-448.002E-06,-3.100000024E+00,-263.750004E-03
-447.002E-06,-3.100000024E+00,-263.750004E-03
-446.002E-06,-3.100000024E+00,-257.513942E-03
-445.002E-06,-2.945344898E+00,-257.500004E-03
-444.002E-06,-3.099655924E+00,-263.736129E-03
-443.002E-06,-3.100000024E+00,-263.750004E-03
-442.002E-06,-3.100000024E+00,-257.513817E-03
-441.002E-06,-3.100000024E+00,-263.736223E-03
-440.002E-06,-2.945341023E+00,-263.750004E-03
-439.002E-06,-3.099659799E+00,-263.750004E-03
-438.002E-06,-2.945339473E+00,-269.986317E-03
-437.002E-06,-3.099661349E+00,-263.763660E-03
-436.002E-06,-3.100000024E+00,-263.750004E-03
-435.002E-06,-2.945337148E+00,-263.750004E-03
-434.002E-06,-2.945000023E+00,-263.750004E-03
-433.002E-06,-3.099664449E+00,-263.750004E-03
-432.002E-06,-3.100000024E+00,-263.750004E-03
-431.002E-06,-3.100000024E+00,-263.750004E-03
-430.002E-06,-2.945333273E+00,-257.513442E-03
-429.002E-06,-3.254335075E+00,-263.736598E-03
-428.002E-06,-3.100331724E+00,-263.750004E-03
-427.002E-06,-2.945330948E+00,-263.750004E-03
-426.002E-06,-3.099669874E+00,-263.750004E-03
-425.002E-06,-2.945329398E+00,-263.750004E-03
-424.002E-06,-3.099671424E+00,-263.750004E-03
-423.002E-06,-3.100000024E+00,-257.513223E-03
-422.002E-06,-3.100000024E+00,-257.500004E-03
-421.002E-06,-3.100000024E+00,-263.736848E-03
-420.002E-06,-3.100000024E+00,-263.750004E-03
-419.002E-06,-3.100000024E+00,-263.750004E-03
-418.002E-06,-3.100000024E+00,-263.750004E-03
-417.002E-06,-3.100000024E+00,-257.513035E-03
-416.002E-06,-3.254677625E+00,-263.737004E-03
-415.002E-06,-3.100321649E+00,-263.750004E-03
-414.002E-06,-3.100000024E+00,-263.750004E-03
-413.002E-06,-3.100000024E+00,-257.512910E-03
-412.002E-06,-3.100000024E+00,-263.737129E-03
-411.002E-06,-3.100000024E+00,-263.750004E-03
-410.002E-06,-3.100000024E+00,-263.750004E-03
-409.002E-06,-3.100000024E+00,-269.987223E-03
-408.002E-06,-3.100000024E+00,-263.762754E-03
-407.002E-06,-3.100000024E+00,-263.750004E-03
-406.002E-06,-3.100000024E+00,-263.750004E-03
-405.002E-06,-3.100000024E+00,-269.987348E-03
-404.002E-06,-3.100000024E+00,-263.762629E-03
-403.002E-06,-3.100000024E+00,-263.750004E-03
-402.002E-06,-3.100000024E+00,-263.750004E-03
-401.002E-06,-3.100000024E+00,-269.987473E-03
-400.002E-06,-3.100000024E+00,-263.762504E-03
-399.002E-06,-3.254690800E+00,-263.750004E-03
-398.002E-06,-3.100308474E+00,-269.987567E-03
-397.002E-06,-3.100000024E+00,-263.762410E-03
-396.002E-06,-3.100000024E+00,-263.750004E-03
-395.002E-06,-3.254693900E+00,-263.750004E-03
-394.002E-06,-3.255000025E+00,-263.750004E-03
-393.002E-06,-3.100304599E+00,-263.750004E-03
-392.002E-06,-3.100000024E+00,-263.750004E-03
-391.002E-06,-3.100000024E+00,-257.512223E-03
-390.002E-06,-3.100000024E+00,-263.737817E-03
-389.002E-06,-3.100000024E+00,-263.750004E-03
-388.002E-06,-3.254699325E+00,-269.987879E-03
-387.002E-06,-3.255000025E+00,-270.000004E-03
-386.002E-06,-3.100299174E+00,-263.762067E-03
-385.002E-06,-3.100000024E+00,-263.750004E-03
-384.002E-06,-3.100000024E+00,-263.750004E-03
-383.002E-06,-3.254703200E+00,-263.750004E-03
-382.002E-06,-3.255000025E+00,-263.750004E-03
-381.002E-06,-3.255000025E+00,-263.750004E-03
-380.002E-06,-3.255000025E+00,-269.988129E-03
-379.002E-06,-3.255000025E+00,-270.000004E-03
-378.002E-06,-3.100292974E+00,-263.761817E-03
-377.002E-06,-3.254707850E+00,-269.988223E-03
